,Czas,Wynik,Sekwencyjny,Funkcja,Liczba genów,Liczba procesów
0,0.41,0.0,True,1,2,
1,0.69,0.0,True,1,10,
2,1.32,0.0,True,1,20,
3,3.6,0.24,True,1,50,
4,6.33,1.177,True,1,100,
5,0.42,0.0,True,2,2,
6,0.62,0.0,True,2,10,
7,1.08,0.0,True,2,20,
8,2.65,-1.552,True,2,50,
9,5.65,-2.3899999999999997,True,2,100,
10,0.6,0.0,False,1,2,8.0
11,0.98,0.0,False,1,10,8.0
12,1.99,0.0,False,1,20,8.0
13,6.99,0.148,False,1,50,8.0
14,11.55,0.9880000000000002,False,1,100,8.0
15,0.5,0.0,False,2,2,8.0
16,0.85,0.0,False,2,10,8.0
17,1.55,0.0,False,2,20,8.0
18,5.04,-1.31,False,2,50,8.0
19,9.74,-2.239,False,2,100,8.0
