,Czas,Wynik,Odchylenie,Sekwencyjny,Funkcja,Liczba genów,Liczba procesów
0,0.49,0.0,0.0,True,1,2,
1,0.74,0.0,0.0,True,1,10,
2,1.34,0.0,0.0,True,1,20,
3,4.01,0.213,0.018466185312619388,True,1,50,
4,7.01,1.1560000000000001,0.1037496987947435,True,1,100,
5,0.44,0.0,0.0,True,2,2,
6,0.68,0.0,0.0,True,2,10,
7,1.1,0.0,0.0,True,2,20,
8,2.55,-1.643,0.09644169222903548,True,2,50,
9,4.9,-2.4210000000000003,0.12445481107614917,True,2,100,
10,0.62,0.0,0.0,False,1,2,8.0
11,1.06,0.0,0.0,False,1,10,8.0
12,2.22,0.0,0.0,False,1,20,8.0
13,7.07,0.154,0.032924155266308645,False,1,50,8.0
14,14.16,0.9400000000000001,0.10917875251164944,False,1,100,8.0
15,0.54,0.0,0.0,False,2,2,8.0
16,0.94,0.0,0.0,False,2,10,8.0
17,1.53,0.0,0.0,False,2,20,8.0
18,5.25,-1.337,0.0813695274657534,False,2,50,8.0
19,11.5,-2.2150000000000003,0.07499999999999997,False,2,100,8.0
